"District","FIPS","Year","Incident Type","Measure Type","Variable","Value"
"Watertown School District",900580490,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Watertown School District",900580490,"2014-2015","Bullying","Number","Total Incidents",-9999
"Watertown School District",900580490,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Watertown School District",900580490,"2015-2016","Bullying","Number","Total Incidents",-9999
"Watertown School District",900580490,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Watertown School District",900580490,"2016-2017","Bullying","Number","Total Incidents",-9999
"Westbrook School District",900781680,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Westbrook School District",900781680,"2012-2013","Bullying","Number","Total Incidents",-9999
"Westbrook School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Westbrook School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Westbrook School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Westbrook School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Westbrook School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Westbrook School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Westbrook School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Westbrook School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Western Connecticut Regional Educational Services",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Western Connecticut Regional Educational Services",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Western Connecticut Regional Educational Services",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Western Connecticut Regional Educational Services",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Western Connecticut Regional Educational Services",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Western Connecticut Regional Educational Services",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Western Connecticut Regional Educational Services",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Western Connecticut Regional Educational Services",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Western Connecticut Regional Educational Services",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Western Connecticut Regional Educational Services",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"West Hartford School District",900382590,"2012-2013","Bullying","Number","Students with at least 1 incident",24
"West Hartford School District",900382590,"2012-2013","Bullying","Number","Total Incidents",31
"West Hartford School District",900382590,"2013-2014","Bullying","Number","Students with at least 1 incident",22
"West Hartford School District",900382590,"2013-2014","Bullying","Number","Total Incidents",36
"West Hartford School District",900382590,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"West Hartford School District",900382590,"2014-2015","Bullying","Number","Total Incidents",7
"West Hartford School District",900382590,"2015-2016","Bullying","Number","Students with at least 1 incident",10
"West Hartford School District",900382590,"2015-2016","Bullying","Number","Total Incidents",11
"West Hartford School District",900382590,"2016-2017","Bullying","Number","Students with at least 1 incident",9
"West Hartford School District",900382590,"2016-2017","Bullying","Number","Total Incidents",9
"West Haven School District",900982870,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"West Haven School District",900982870,"2012-2013","Bullying","Number","Total Incidents",-9999
"West Haven School District",900982870,"2013-2014","Bullying","Number","Students with at least 1 incident",8
"West Haven School District",900982870,"2013-2014","Bullying","Number","Total Incidents",8
"West Haven School District",900982870,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"West Haven School District",900982870,"2014-2015","Bullying","Number","Total Incidents",-9999
"West Haven School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"West Haven School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"West Haven School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"West Haven School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Weston School District",900183430,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Weston School District",900183430,"2012-2013","Bullying","Number","Total Incidents",-9999
"Weston School District",900183430,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Weston School District",900183430,"2013-2014","Bullying","Number","Total Incidents",-9999
"Weston School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Weston School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Weston School District",900183430,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Weston School District",900183430,"2015-2016","Bullying","Number","Total Incidents",-9999
"Weston School District",900183430,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Weston School District",900183430,"2016-2017","Bullying","Number","Total Incidents",-9999
"Westport School District",900183500,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Westport School District",900183500,"2012-2013","Bullying","Number","Total Incidents",-9999
"Westport School District",900183500,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Westport School District",900183500,"2013-2014","Bullying","Number","Total Incidents",-9999
"Westport School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Westport School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Westport School District",900183500,"2015-2016","Bullying","Number","Students with at least 1 incident",6
"Westport School District",900183500,"2015-2016","Bullying","Number","Total Incidents",8
"Westport School District",900183500,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Westport School District",900183500,"2016-2017","Bullying","Number","Total Incidents",-9999
"Wethersfield School District",900384900,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Wethersfield School District",900384900,"2012-2013","Bullying","Number","Total Incidents",-9999
"Wethersfield School District",900384900,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Wethersfield School District",900384900,"2013-2014","Bullying","Number","Total Incidents",-9999
"Wethersfield School District",900384900,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Wethersfield School District",900384900,"2014-2015","Bullying","Number","Total Incidents",7
"Wethersfield School District",900384900,"2015-2016","Bullying","Number","Students with at least 1 incident",6
"Wethersfield School District",900384900,"2015-2016","Bullying","Number","Total Incidents",6
"Wethersfield School District",900384900,"2016-2017","Bullying","Number","Students with at least 1 incident",7
"Wethersfield School District",900384900,"2016-2017","Bullying","Number","Total Incidents",8
"Willington School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Willington School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Willington School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Willington School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Willington School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Willington School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Willington School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Willington School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Willington School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Willington School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Wilton School District",900186370,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Wilton School District",900186370,"2012-2013","Bullying","Number","Total Incidents",-9999
"Wilton School District",900186370,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Wilton School District",900186370,"2013-2014","Bullying","Number","Total Incidents",-9999
"Wilton School District",900186370,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Wilton School District",900186370,"2014-2015","Bullying","Number","Total Incidents",-9999
"Wilton School District",900186370,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Wilton School District",900186370,"2015-2016","Bullying","Number","Total Incidents",-9999
"Wilton School District",900186370,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Wilton School District",900186370,"2016-2017","Bullying","Number","Total Incidents",-9999
"Winchester School District",900586440,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Winchester School District",900586440,"2012-2013","Bullying","Number","Total Incidents",-9999
"Winchester School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Winchester School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
